,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Gaming Policy and Enforcement Branch
,,,,,,,,,
"Gaming Revenue Granted to, and Earned by Community Organizations - 2014/15 Full Report (by community)",,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
"? Gaming event licence reported earnings as of July 30, 2015, including losses. It is estimated that total licensed gaming earnings in 2014/15 were approximately $39.5 million.",,,,,,,,,
"? This report does not include, or show, unused grant funds returned by an organization.",,,,,,,,,
,,,,,,,,,
,,Grants,,"Gaming Event Licences (reported earnings as of July 30, 2015) ?",,,,,
City,Organization Name,Community Gaming Grants,"Special One
Time Grants",Independent Bingo,Ticket Raffle,Wheel of Fortune,Social Occasion Casino,Poker,Total
100 Mile House,100 Mile & District Minor Hockey Association,"$45,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$45,000.00"
100 Mile House,100 Mile Elementary School PAC,"$7,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,200.00"
100 Mile House,100 Mile House & District Figure Skating Club,"$13,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,900.00"
100 Mile House,100 Mile House & District Women's Centre Society,"$17,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,000.00"
100 Mile House,100 Mile House and District Soccer Association,"$26,160.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$26,160.00"
100 Mile House,100 Mile House Community Club,$0.00,$0.00,"$22,025.57",$0.00,$0.00,$0.00,$0.00,"$22,025.57"
100 Mile House,100 Mile House Food Bank Society,"$85,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$85,000.00"
100 Mile House,100 Mile House Wranglers Junior B Hockey Club,"$15,000.00",$0.00,$0.00,"$20,188.50",$0.00,$0.00,$0.00,"$35,188.50"
100 Mile House,British Columbia Special Olympics - 100 Mile House Local,"$3,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,800.00"
100 Mile House,Cariboo Family Enrichment Centre Society,"$129,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$129,000.00"
100 Mile House,Ducks Unlimited Canada -100 Mile House CFG,$0.00,$0.00,$0.00,"$3,120.49",$0.00,$0.00,$0.00,"$3,120.49"
100 Mile House,Educo School,"$63,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$63,500.00"
100 Mile House,Kokoro Judo Association,"$4,480.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,480.00"
100 Mile House,Mill Site Lodge Fischer Place Auxiliary,$0.00,$0.00,$0.00,"$1,710.00",$0.00,$0.00,$0.00,"$1,710.00"
100 Mile House,Peter Skene Ogden Parent Advisory Council,"$12,480.00",$0.00,$0.00,"$3,189.92",$0.00,$0.00,$0.00,"$15,669.92"
100 Mile House,Royal Canadian Legion #260,$0.00,$0.00,$0.00,"$11,692.51",$0.00,$0.00,$0.00,"$11,692.51"
100 Mile House,South Cariboo Health Foundation,$0.00,$0.00,$0.00,$697.05,$0.00,$0.00,$0.00,$697.05
100 Mile House,South Cariboo Lioness,$0.00,$0.00,$0.00,"$1,159.99",$0.00,$0.00,$0.00,"$1,159.99"
100 Mile House,South Cariboo Search & Rescue Society,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00"
100 Mile House,West Coast Blind Curling Association,"$8,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,000.00"
100 Mile House Total,,"$450,520.00",$0.00,"$22,025.57","$41,758.46",$0.00,$0.00,$0.00,"$514,304.03"
108 Mile House,Peter Skene Ogden Secondary Dry Grad 2014 - CFG,$0.00,$0.00,$0.00,"$5,990.00",$0.00,$0.00,$0.00,"$5,990.00"
108 Mile House Total,,$0.00,$0.00,$0.00,"$5,990.00",$0.00,$0.00,$0.00,"$5,990.00"
108 Mile Ranch,100 Mile House & District Historical Society,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00"
